"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Sep 01 10:49:27 GMT 2024","Sun Sep 01 10:49:28 GMT 2024","961","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 10:48:59 GMT 2024","Sun Sep 01 10:49:00 GMT 2024","1490","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4]",""
"passed","Sun Sep 01 10:48:54 GMT 2024","Sun Sep 01 10:48:55 GMT 2024","1070","","test_2YandexAPI","","","","test_find_2_pharmacies[\u041c\u043e\u0441\u043a\u0432\u0430, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"skipped","Sun Sep 01 10:49:37 GMT 2024","Sun Sep 01 10:49:38 GMT 2024","985","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 10:49:04 GMT 2024","Sun Sep 01 10:49:06 GMT 2024","1491","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"passed","Sun Sep 01 10:48:53 GMT 2024","Sun Sep 01 10:48:54 GMT 2024","1075","","test_2YandexAPI","","","","test_find_2_pharmacies[\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u0414\u0432\u043e\u0440\u0435\u0446 \u042e\u0441\u0443\u043f\u043e\u0432\u044b\u0445]",""
"passed","Sun Sep 01 10:48:49 GMT 2024","Sun Sep 01 10:48:50 GMT 2024","1022","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"passed","Sun Sep 01 10:49:25 GMT 2024","Sun Sep 01 10:49:27 GMT 2024","1476","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
"passed","Sun Sep 01 10:48:48 GMT 2024","Sun Sep 01 10:48:49 GMT 2024","970","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"passed","Sun Sep 01 10:48:45 GMT 2024","Sun Sep 01 10:48:46 GMT 2024","970","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4]",""
"passed","Sun Sep 01 10:49:34 GMT 2024","Sun Sep 01 10:49:35 GMT 2024","1466","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"passed","Sun Sep 01 10:49:24 GMT 2024","Sun Sep 01 10:49:25 GMT 2024","1410","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"passed","Sun Sep 01 10:49:28 GMT 2024","Sun Sep 01 10:49:30 GMT 2024","1552","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4]",""
"passed","Sun Sep 01 10:48:46 GMT 2024","Sun Sep 01 10:48:47 GMT 2024","1003","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u0421\u041f\u0431 \u041f\u0430\u0440\u0430\u0448\u0423\u0442\u043d\u0430\u044f \u0443\u043b 65 \u0441\u0442\u0440 1]",""
"passed","Sun Sep 01 10:49:35 GMT 2024","Sun Sep 01 10:49:37 GMT 2024","1488","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
"skipped","Sun Sep 01 10:49:07 GMT 2024","Sun Sep 01 10:49:08 GMT 2024","980","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 10:48:47 GMT 2024","Sun Sep 01 10:48:48 GMT 2024","952","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
